Name,x_UTM,y_UTM,x_LL,y_LL,z,z_DEM
280223-Base1,316492.845,4510566.117,-71.5360288875,-49.5297061983,266.015,256.607261834
280223-Base2,316492.845,4510566.117,-71.5360288875,-49.5297061983,266.015,256.607261834
280223T2T3a-0001,316501.777,4510571.695,-71.535902982,-49.5296587788,265.758,256.740415929
280223T2T3a-0002,316501.775,4510571.681,-71.5359030161,-49.529658904,265.746,256.739778659
280223T2T3a-0003,316501.623,4510571.562,-71.5359051699,-49.5296599274,265.734,256.729853249
280223T2T3a-0004,316501.578,4510571.442,-71.535905847,-49.529660992,265.728,256.723693116
280223T2T3a-0005,316501.429,4510570.976,-71.5359081207,-49.5296651344,265.740,256.702428605
280223T2T3a-0006,316501.017,4510570.478,-71.5359140403,-49.5296694847,265.800,256.673481072
280223T2T3a-0007,316500.389,4510569.793,-71.5359230287,-49.5296754499,265.737,256.634399252
280223T2T3a-0008,316499.854,4510569.073,-71.5359307496,-49.5296817578,265.799,256.603725415
280223T2T3a-0009,316499.273,4510568.367,-71.535939099,-49.529687926,265.840,256.579261342
280223T2T3a-0010,316498.621,4510567.576,-71.5359484681,-49.5296948365,265.808,256.562618774
280223T2T3a-0011,316498.003,4510566.813,-71.5359573549,-49.5297015057,265.817,256.558612689
280223T2T3a-0012,316497.330,4510566.045,-71.5359670032,-49.5297082032,265.756,256.566136932
280223T2T3a-0013,316496.589,4510565.284,-71.5359775871,-49.5297148171,265.778,256.586005333
280223T2T3a-0014,316495.892,4510564.416,-71.5359876133,-49.5297224059,265.840,256.622252253
280223T2T3a-0015,316495.196,4510563.444,-71.5359976741,-49.5297309296,265.823,256.674169476
280223T2T3a-0016,316494.501,4510562.491,-71.5360077122,-49.5297392828,265.831,256.734039724
280223T2T3a-0017,316493.773,4510561.596,-71.536018179,-49.5297471048,265.871,256.797515208
280223T2T3a-0018,316492.989,4510560.640,-71.5360294472,-49.529755458,265.907,256.865408525
280223T2T3a-0019,316492.253,4510559.669,-71.5360400598,-49.5297639605,265.905,256.925587176
280223T2T3a-0020,316491.539,4510558.811,-71.5360503161,-49.5297714543,265.859,256.970198796
280223T2T3a-0021,316490.783,4510557.925,-71.5360611652,-49.529779187,265.890,257.001717255
280223T2T3a-0022,316490.086,4510556.957,-71.5360712379,-49.5297876744,265.945,257.01257561
280223T2T3a-0023,316489.416,4510556.026,-71.5360809207,-49.5297958374,265.943,257.002990919
280223T2T3a-0024,316488.737,4510555.038,-71.5360907543,-49.52980451,265.860,256.973581481
280223T2T3a-0025,316487.979,4510554.086,-71.5361016618,-49.5298128351,265.852,256.930673784
280223T2T3a-0026,316487.218,4510553.238,-71.5361125623,-49.5298202248,265.960,256.885042846
280223T2T3a-0027,316486.496,4510552.389,-71.5361229248,-49.5298276353,265.975,256.834129065
280223T2T3a-0028,316485.910,4510551.501,-71.536131428,-49.5298354374,266.040,256.782077392
280223T2T3a-0029,316485.212,4510550.679,-71.5361414466,-49.5298426125,266.083,256.738035539
280223T2T3a-0030,316484.543,4510549.838,-71.5361510738,-49.5298499671,266.199,256.704543837
280223T2T3a-0031,316483.897,4510548.856,-71.536160449,-49.5298585957,266.202,256.682956151
280223T2T3a-0032,316483.274,4510547.889,-71.5361694997,-49.5298670965,266.163,256.681604152
280223T2T3a-0033,316482.579,4510546.976,-71.5361795193,-49.5298750903,266.301,256.703323073
280223T2T3a-0034,316481.786,4510546.147,-71.5361908527,-49.5298822995,266.346,256.748707311
280223T2T3a-0035,316481.043,4510545.201,-71.5362015504,-49.5298905753,266.406,256.813840453
280223T2T3a-0036,316480.424,4510544.250,-71.5362105384,-49.5298989335,266.405,256.882232897
280223T2T3a-0037,316479.808,4510543.342,-71.5362194651,-49.5299069062,266.485,256.954601848
