Name,x_UTM,y_UTM,x_LL,y_LL,z,z_DEM
270223-Base1,316220.884,4502086.907,-71.5437418941,-49.6058168586,361.912,368.431272081
270223T6T9a-0001,316221.195,4502086.331,-71.5437378634,-49.6058221289,362.808,368.395885584
270223T6T9a-0002,316221.130,4502086.262,-71.5437387945,-49.6058227292,362.830,368.396270094
270223T6T7a-0001,316113.655,4502039.097,-71.5452469202,-49.6062138581,362.614,368.8357588
270223T6T7a-0002,316114.949,4502037.723,-71.5452296712,-49.6062265982,362.621,368.809756301
270223T6T7a-0003,316117.849,4502034.150,-71.5451912454,-49.6062595867,362.656,368.715538041
270223T6T7a-0004,316120.737,4502030.407,-71.545153065,-49.606294099,362.728,368.788016786
270223T6T7a-0005,316123.863,4502026.885,-71.5451114903,-49.6063266979,362.722,369.030639632
270223T6T7a-0006,316126.990,4502022.945,-71.5450700974,-49.6063630531,362.859,369.158259146
270223T6T7a-0007,316129.734,4502019.153,-71.5450339309,-49.6063979619,362.987,369.086970745
270223T6T7a-0008,316132.829,4502015.525,-71.5449928343,-49.6064315038,363.024,369.014080888
270223T6T7a-0009,316135.928,4502011.733,-71.5449517591,-49.6064665205,362.985,369.202588134
270223T6T7a-0010,316138.889,4502007.772,-71.544912671,-49.6065030139,363.080,369.473399113
270223T6T7a-0011,316142.212,4502003.960,-71.5448685078,-49.6065382785,363.073,369.589092275
270223T6T7a-0012,316145.120,4502000.225,-71.5448300467,-49.6065727249,363.061,369.57459518
270223T6T7a-0013,316147.979,4501996.458,-71.544792278,-49.606607444,363.151,369.602100193
270223T6T7a-0014,316150.914,4501992.776,-71.5447534187,-49.6066414224,363.172,369.789111175
270223T6T7a-0015,316154.179,4501988.949,-71.5447100642,-49.6066768041,363.153,370.095783316
270223T6T7a-0016,316157.451,4501985.282,-71.544666538,-49.6067107501,363.133,370.275649317
270223T6T7a-0017,316160.511,4501981.839,-71.5446258382,-49.6067426189,363.181,370.131915366
270223T6T7a-0018,316163.340,4501978.015,-71.5445885108,-49.606777841,363.242,369.817604358
270223T6T7a-0019,316166.391,4501973.903,-71.5445482485,-49.6068157184,363.255,369.624355922
270223T6T7a-0020,316169.319,4501969.702,-71.5445097285,-49.6068543582,363.306,369.721607758
270223T6T7a-0021,316172.496,4501965.648,-71.5444676966,-49.6068917528,363.417,369.974289105
