Name,x_UTM,y_UTM,x_LL,y_LL,z,z_DEM
070323-Base1,403456.198,4428547.472,-70.3552312051,-50.2872936997,433.897,435.190274424
070323-P1-0001,403454.942,4428550.830,-70.3552479734,-50.2872633021,433.772,435.290463505
070323-P1-0002,403458.418,4428547.839,-70.3551999575,-50.2872907632,433.698,435.319545644
070323-P1-0003,403463.171,4428543.251,-70.3551344288,-50.287332792,433.781,435.492266664
070323-P1-0004,403467.823,4428539.179,-70.3550701857,-50.2873701648,433.938,435.729825473
070323-P1-0005,403472.509,4428534.819,-70.3550055388,-50.2874101326,433.869,435.512721548
070323-P1-0006,403477.556,4428530.369,-70.3549358488,-50.2874509686,433.876,435.381954667
070323-P1-0007,403482.053,4428526.706,-70.354873676,-50.2874846386,433.890,435.483604235
070323-P1-0008,403484.245,4428524.274,-70.3548435358,-50.2875068635,433.867,435.478256315
070323-P1-0009,403487.456,4428521.763,-70.3547991158,-50.2875299654,433.999,435.402594712
070323-P1-0010,403489.035,4428520.110,-70.3547773791,-50.287545086,433.831,435.352385964
070323-P1-0011,403491.013,4428518.501,-70.3547500318,-50.2875598762,433.849,435.296379546
070323-P1-0012,403493.196,4428516.659,-70.3547198672,-50.2875767948,433.843,435.23473967
070323-P1-0013,403496.945,4428512.493,-70.3546683195,-50.2876148649,433.691,435.124202355
070323-P1-0014,403501.994,4428508.167,-70.3545985692,-50.2876545861,433.709,435.038710061
070323-P1-0015,403506.450,4428504.359,-70.3545370083,-50.287689553,433.667,435.040485154
070323-P1-0016,403510.798,4428500.796,-70.3544769005,-50.2877222993,433.649,435.084383495
070323-P1-0017,403515.030,4428496.929,-70.354418498,-50.2877577599,433.603,435.177064086
070323-P1-0018,403519.180,4428493.045,-70.3543612505,-50.28779336,433.640,435.220447158
070323-P1-0019,403523.167,4428489.422,-70.3543062238,-50.2878265866,433.641,435.157677061
070323-P1-0020,403527.595,4428485.620,-70.3542450539,-50.2878614948,433.541,434.959031094
070323-P1-0021,403532.076,4428481.687,-70.3541831736,-50.2878975894,433.432,434.866205832
070323-P1-0022,403536.756,4428477.490,-70.3541185678,-50.2879360902,433.303,435.054191718
070323-P1-0023,403541.375,4428473.404,-70.3540547897,-50.287973583,433.350,435.003876908
070323-P1-0024,403544.921,4428470.360,-70.3540058036,-50.2880015316,433.287,434.788426628
070323-P1-0025,403548.511,4428467.034,-70.3539562719,-50.2880320228,433.177,434.705663944
070323-P1-0026,403552.840,4428462.884,-70.3538965796,-50.2880700435,433.116,434.922560935
070323-P1-0027,403557.525,4428458.947,-70.353831837,-50.2881062073,433.000,435.154156721
070323-P1-0028,403558.527,4428457.774,-70.3538180746,-50.2881169176,432.932,435.136058856
070323-P1-0029,403562.505,4428454.347,-70.3537631234,-50.2881483803,432.936,434.919002972
070323-P1-0030,403567.150,4428449.992,-70.3536990485,-50.2881882957,432.816,434.76808427
070323-P1-0031,403571.796,4428445.687,-70.3536349467,-50.2882277617,432.676,434.714354332
070323-P1-0032,403576.540,4428441.256,-70.3535695016,-50.2882683766,432.554,434.19086666
070323-P1-0033,403581.464,4428436.839,-70.3535015268,-50.288308895,432.284,433.259701404
070323-P1-0034,403586.275,4428432.127,-70.353435213,-50.2883520472,431.963,432.882173361
070323-P1-0035,403591.063,4428428.020,-70.3533690675,-50.288389756,431.757,432.998554657
070323-P1-0036,403596.119,4428423.532,-70.353299258,-50.2884309342,431.451,432.960658834
070323-P1-0037,403600.950,4428419.080,-70.3532325968,-50.2884717519,431.249,432.656156409
070323-P1-0038,403605.685,4428414.806,-70.3531672373,-50.2885109534,430.956,432.229906357
