Name,x_UTM,y_UTM,x_LL,y_LL,z,z_DEM
080323T0T1b-0084,484340.199,4447268.920,-69.219083598,-50.1266114994,41.599,41.1479678122
080323T0T1b-0085,484340.672,4447270.219,-69.2190769274,-50.126599829,41.582,41.2536759819
080323T0T1b-0086,484340.938,4447271.489,-69.2190731539,-50.1265884139,41.615,41.3251458383
080323T0T1b-0087,484341.296,4447273.079,-69.2190680802,-50.1265741232,41.643,41.3920943826
080323T0T1b-0088,484341.668,4447274.321,-69.2190628249,-50.1265629628,41.691,41.4340231171
080323T0T1b-0089,484341.936,4447275.615,-69.2190590224,-50.1265513319,41.737,41.4626810472
080323T0T1b-0090,484342.180,4447276.934,-69.2190555547,-50.1265394755,41.746,41.4545166552
080323T0T1b-0091,484342.377,4447278.134,-69.2190527494,-50.1265286881,41.669,41.4151411187
080323T0T1b-0092,484342.720,4447279.532,-69.2190478934,-50.1265161239,41.645,41.3452200382
080323T0T1b-0093,484343.155,4447280.945,-69.2190417498,-50.1265034271,41.660,41.2591349753
080323T0T1b-0094,484343.377,4447282.314,-69.2190385878,-50.1264911205,41.691,41.1663011403
080323T0T1b-0095,484343.722,4447283.671,-69.2190337055,-50.126478925,41.718,41.0845320724
080323T0T1b-0096,484344.112,4447284.920,-69.2190281981,-50.1264677021,41.707,41.0273794938
080323T0T1b-0097,484344.599,4447286.100,-69.2190213366,-50.1264571022,41.689,40.9993499659
080323T0T1b-0098,484344.871,4447287.426,-69.2190174768,-50.1264451836,41.641,40.9941723593
080323T0T1b-0099,484345.119,4447288.787,-69.2190139515,-50.1264329496,41.662,41.0318291089
080323T0T1b-0100,484345.275,4447290.143,-69.2190117134,-50.1264207582,41.688,41.1036759973
080323T0T1b-0101,484345.730,4447291.417,-69.2190052956,-50.1264093121,41.695,41.2043119408
080323T0T1b-0102,484346.001,4447292.552,-69.2190014577,-50.1263991113,41.652,41.3007561785
080323T0T1b-0103,484346.290,4447293.689,-69.218997368,-50.126388893,41.648,41.4008684442
080323T0T1b-0104,484346.547,4447294.678,-69.2189937319,-50.1263800049,41.796,41.485154985
080323T0T1b-0105,484346.852,4447295.555,-69.218989429,-50.1263721254,41.802,41.5541847439
080323T0T1b-0106,484347.168,4447296.483,-69.2189849701,-50.1263637875,41.788,41.6159792299
080323T0T1b-0107,484347.522,4447297.830,-69.2189799623,-50.1263516822,41.738,41.6801412535
080323T0T1b-0108,484347.823,4447298.929,-69.2189757062,-50.1263418059,41.717,41.7051661235
080323T0T1b-0109,484348.120,4447300.247,-69.2189714971,-50.12632996,41.737,41.7000419703
080323T0T1b-0110,484348.415,4447301.478,-69.2189673196,-50.1263188964,41.762,41.6625685119
080323T0T1b-0111,484348.807,4447302.842,-69.2189617795,-50.1263066392,41.690,41.5919798681
080323T0T1b-0112,484349.319,4447304.170,-69.2189545622,-50.126294709,41.693,41.500546506
080323T0T1b-0113,484349.685,4447305.404,-69.2189493912,-50.1262836203,41.700,41.4131798387
080323T0T1b-0114,484349.888,4447306.669,-69.2189464993,-50.1262722485,41.632,41.3284695197
080323T0T1b-0115,484350.191,4447308.021,-69.2189422049,-50.1262600969,41.617,41.2394968283
080323T0T1b-0116,484350.475,4447309.341,-69.2189381776,-50.1262482326,41.618,41.1624662051
080323T0T1b-0117,484350.665,4447310.326,-69.2189354791,-50.1262393787,41.552,41.1135411012
080323T0T1c-0001,484389.547,4447283.349,-69.2183926249,-50.1264830284,41.723,41.1714133008
080323T0T1c-0002,484389.467,4447283.350,-69.2183937441,-50.1264830173,41.720,41.1722541367
080323T0T1c-0003,484389.410,4447282.725,-69.2183945671,-50.1264886369,41.732,41.1533831301
080323T0T1c-0004,484389.155,4447281.726,-69.2183981755,-50.126497615,41.683,41.1232427884
080323T0T1c-0005,484388.931,4447280.435,-69.2184013621,-50.1265092201,41.658,41.0827202165
080323T0T1c-0006,484388.743,4447279.016,-69.2184040503,-50.1265219774,41.680,41.0411870052
080323T0T1c-0007,484388.550,4447277.636,-69.2184068068,-50.1265343837,41.711,41.0091900233
080323T0T1c-0008,484388.344,4447276.256,-69.2184097453,-50.1265467897,41.728,40.9903135484
080323T0T1c-0009,484388.059,4447274.897,-69.2184137881,-50.1265590048,41.706,40.9901218916
080323T0T1c-0010,484387.805,4447273.515,-69.2184173981,-50.1265714275,41.699,41.0159505948
080323T0T1c-0011,484387.504,4447272.185,-69.2184216636,-50.1265833814,41.674,41.0616228617
080323T0T1c-0012,484387.290,4447270.710,-69.2184247178,-50.1265966416,41.658,41.1256115586
080323T0T1c-0013,484387.109,4447269.352,-69.2184273056,-50.1266088504,41.656,41.1888962538
080323T0T1c-0014,484386.843,4447268.022,-69.2184310814,-50.1266208051,41.696,41.2472658811
080323T0T1c-0015,484386.552,4447266.653,-69.2184352085,-50.12663311,41.767,41.2950481356
080323T0T1c-0016,484386.295,4447265.360,-69.2184388569,-50.1266447322,41.711,41.3212237945
080323T0T1c-0017,484386.059,4447264.075,-69.2184422112,-50.126656283,41.684,41.3220842074
080323T0T1c-0018,484385.777,4447262.787,-69.2184462091,-50.1266678596,41.621,41.291091519
080323T0T1c-0019,484385.386,4447261.324,-69.2184517391,-50.1266810072,41.622,41.2289010115
080323T0T1c-0020,484385.123,4447260.083,-69.2184554693,-50.1266921616,41.609,41.1621986755
080323T0T1c-0021,484385.015,4447258.772,-69.2184570339,-50.1267039496,41.633,41.0777835516
080323T0T1c-0022,484384.810,4447257.499,-69.218459954,-50.1267153933,41.560,40.9798147243
080323T0T1c-0023,484384.510,4447256.044,-69.2184642106,-50.1267284713,41.481,40.8471394205
080323T0T1c-0024,484384.191,4447254.713,-69.218468728,-50.1267404337,41.459,40.7046691458
080323T0T1c-0025,484383.947,4447253.329,-69.2184721982,-50.1267528747,41.385,40.53455999
080323T0T1c-0026,484383.666,4447252.041,-69.2184761822,-50.1267644513,41.309,40.35282522
080323T0T1c-0027,484383.352,4447250.818,-69.2184806252,-50.1267754424,41.204,40.1571168098
080323T0T1c-0028,484383.199,4447249.658,-69.2184828131,-50.1267858712,40.963,39.9486862844
080323T0T1c-0029,484383.065,4447248.521,-69.2184847344,-50.1267960936,40.787,39.7131756855
080323T0T1c-0030,484382.737,4447247.299,-69.2184893732,-50.1268070754,40.519,39.4243289034
080323T0T1c-0031,484382.547,4447246.101,-69.2184920803,-50.1268178449,40.309,39.1211967987
080323T0T1c-0032,484382.329,4447245.166,-69.2184951685,-50.1268262484,40.061,38.8692414574
080323T0T1c-0033,484382.164,4447244.098,-69.2184975206,-50.1268358494,39.782,38.5760686789
080323T0T1c-0034,484381.994,4447243.111,-69.2184999393,-50.1268447218,39.407,38.2997981701
080323T0T1c-0035,484381.783,4447242.038,-69.2185029352,-50.1268543666,39.141,37.9975714213
080323T0T1c-0036,484381.725,4447241.027,-69.218503788,-50.1268634578,38.812,37.7247119667
080323T0T1c-0037,484381.387,4447240.075,-69.2185085557,-50.126872011,38.456,37.4584216424
080323T0T1c-0038,484381.057,4447239.148,-69.2185132104,-50.1268803395,38.175,37.208640317
080323T0T1c-0039,484381.116,4447238.240,-69.2185124221,-50.1268885075,37.803,37.0004806915
