Name,x_UTM,y_UTM,x_LL,y_LL,z,z_DEM
260223T2T5a-0130,320243.546,4502832.724,-71.4877777337,-49.6003244855,305.768,304.67991934
260223T2T5a-0131,320240.386,4502831.617,-71.4878219302,-49.6003334937,305.770,304.398338369
260223T2T5a-0132,320237.661,4502830.352,-71.4878601846,-49.600344051,305.809,304.095502637
260223T2T5a-0133,320234.546,4502829.621,-71.4879035869,-49.6003496937,305.814,303.970234255
260223T2T5a-0134,320231.440,4502828.895,-71.4879468625,-49.6003552941,305.804,304.088981936
260223T2T5a-0135,320228.103,4502827.688,-71.487993552,-49.6003651482,305.881,304.323828438
260223T2T5a-0136,320224.982,4502826.572,-71.4880372134,-49.6003742487,305.872,304.531493986
260223T2T5a-0137,320221.825,4502825.761,-71.4880812331,-49.6003805978,305.893,304.708918194
260223T2T5a-0138,320218.547,4502825.003,-71.4881269014,-49.6003864345,305.969,304.803303371
260223T2T5a-0139,320215.402,4502823.620,-71.4881710169,-49.6003979272,305.988,304.837530599
260223T2T5a-0140,320212.201,4502822.619,-71.4882157318,-49.6004059705,306.011,304.848159029
260223T2T5a-0141,320208.966,4502821.256,-71.4882610825,-49.6004172566,306.043,304.868015557
260223T2T5a-0142,320205.784,4502820.210,-71.4883055554,-49.6004257099,306.083,304.909328182
260223T2T5a-0143,320202.400,4502819.050,-71.4883528733,-49.6004351275,306.070,304.915188127
260223T2T5a-0144,320199.628,4502817.869,-71.4883917394,-49.6004449158,306.097,304.814420215
260223T2T5a-0145,320196.141,4502817.232,-71.4884402421,-49.600449603,306.072,304.664450255
260223T2T5a-0146,320193.184,4502815.706,-71.4884818238,-49.6004624364,306.090,304.651391171
260223T2T5a-0147,320189.892,4502814.936,-71.4885276913,-49.6004683767,306.016,304.759315694
260223T2T5a-0148,320186.923,4502813.338,-71.488569472,-49.6004818536,306.045,304.805955295
260223T2T5a-0149,320184.544,4502812.017,-71.4886029685,-49.6004930168,306.140,304.777595475
260223T2T5a-0150,320182.559,4502810.121,-71.4886312808,-49.6005094642,306.183,304.768727033
260223T2T5a-0151,320181.570,4502809.521,-71.4886452293,-49.6005145617,306.201,304.766728527
260223T2T5a-0152,320182.392,4502808.782,-71.4886342025,-49.600521447,306.148,304.812761888
260223T2T5a-0153,320184.321,4502805.941,-71.4886088322,-49.6005475505,306.174,304.96802119
260223T2T5a-0154,320186.202,4502803.194,-71.4885840825,-49.600572795,306.169,305.084810522
260223T2T5a-0155,320188.113,4502800.502,-71.4885588929,-49.6005975542,306.167,305.144769835
260223T2T5a-0156,320189.861,4502797.631,-71.4885360387,-49.6006238734,306.115,305.16426278
260223T2T5a-0157,320192.201,4502795.080,-71.4885048531,-49.6006474931,306.154,305.14004114
260223T2T5a-0158,320194.378,4502792.431,-71.488475966,-49.600671945,306.167,305.19383304
260223T2T5a-0159,320196.376,4502789.653,-71.4884496127,-49.6006975028,306.157,305.300842447
260223T2T5a-0160,320197.934,4502786.744,-71.4884294028,-49.600724107,306.152,305.404507924
260223T2T5a-0161,320199.686,4502783.805,-71.4884065244,-49.6007510384,306.153,305.453842124
260223T2T5a-0162,320201.219,4502781.189,-71.488386526,-49.6007750022,306.147,305.410333276
260223T2T5a-0163,320201.433,4502778.382,-71.4883848517,-49.6008002901,306.143,305.333132466
260223T2T5a-0164,320200.880,4502775.200,-71.4883939535,-49.6008287197,306.187,305.226726022
260223T2T5a-0165,320201.390,4502772.996,-71.4883879107,-49.6008486769,306.193,305.093386564
260223T2T5a-0166,320201.143,4502772.884,-71.488391377,-49.6008496099,306.197,305.104540366
260223T2T5a-0167,320201.105,4502772.943,-71.4883918754,-49.6008490684,306.203,305.109555701
260223T2T5a-0168,320201.061,4502772.890,-71.488392508,-49.6008495316,306.190,305.110093447
260223T2T5a-0169,320201.048,4502772.955,-71.488392658,-49.6008489436,306.204,305.113747513
260223T2T5a-0170,320201.101,4502772.875,-71.4883919618,-49.6008496783,306.169,305.106865419
260223T2T5a-0171,320201.310,4502772.893,-71.4883890639,-49.6008495787,306.185,305.09408917
260223T2T5a-0172,320201.231,4502772.914,-71.4883901466,-49.6008493665,306.174,305.100140074
260223T2T5a-0173,320201.364,4502772.908,-71.4883883105,-49.6008494599,306.184,305.091223854
260223T2T5a-0174,320203.909,4502774.156,-71.488352552,-49.6008390021,306.164,304.994201701
