Name,x_UTM,y_UTM,x_LL,y_LL,z,z_DEM
060323-Base1,360916.835,4437030.727,-70.9489519841,-50.2025497952,192.346,198.086982721
060323-Test-001,360916.953,4437031.864,-70.9489499153,-50.202539603,192.223,198.058176171
060323-Test-002,360916.851,4437031.716,-70.948951398,-50.2025409093,192.223,198.059717313
060323-Test-003,360916.860,4437031.734,-70.9489512653,-50.2025407496,192.228,198.059435199
060323T1T2a-0001,360458.268,4435910.601,-70.9557854389,-50.2125100906,197.309,203.387420416
060323T1T2a-0002,360458.639,4435909.946,-70.955780483,-50.2125160656,197.316,203.408048708
060323T1T2a-0003,360460.771,4435906.803,-70.955751775,-50.2125448192,197.323,203.481278122
060323T1T2a-0004,360463.286,4435903.304,-70.9557178331,-50.2125768631,197.351,203.50748486
060323T1T2a-0005,360465.637,4435899.724,-70.9556862181,-50.2126095963,197.266,203.497292561
060323T1T2a-0006,360468.022,4435896.157,-70.9556541221,-50.2126422207,197.329,203.469529378
060323T1T2a-0007,360470.417,4435892.576,-70.955621891,-50.2126749733,197.300,203.454460349
060323T1T2a-0008,360472.820,4435889.167,-70.9555894847,-50.2127061818,197.260,203.454842415
060323T1T2a-0009,360475.199,4435885.655,-70.9555574523,-50.2127383103,197.309,203.435571792
060323T1T2a-0010,360477.404,4435882.568,-70.955527701,-50.2127665778,197.258,203.3946184
060323T1T2a-0011,360479.475,4435879.469,-70.955499831,-50.2127949215,197.300,203.371004439
060323T1T2a-0012,360481.719,4435876.503,-70.9554694888,-50.2128221105,197.143,203.387615679
060323T1T2a-0013,360483.928,4435873.270,-70.955439735,-50.2128516912,197.037,203.352269282
060323T1T2a-0014,360485.733,4435870.243,-70.9554155644,-50.212879325,196.676,203.175483307
060323T1T2a-0015,360487.922,4435867.107,-70.955386055,-50.212908029,196.214,202.764882953
060323T1T2a-0016,360490.083,4435863.974,-70.9553569367,-50.2129366995,195.693,202.136083369
060323T1T2a-0017,360491.850,4435861.297,-70.9553331696,-50.2129611783,195.012,201.474427343
060323T1T2a-0018,360493.152,4435859.423,-70.9553156208,-50.2129783298,194.395,200.960714662
060323T1T2a-0019,360493.736,4435858.419,-70.9553078095,-50.2129874919,194.083,200.690493029
060323T1T2a-0020,360493.771,4435858.492,-70.9553072924,-50.212986844,194.077,200.701011844
060323T1T2a-0021,360494.188,4435857.778,-70.9553017137,-50.2129933601,193.821,200.506563392
060323T1T2a-0022,360495.570,4435855.699,-70.9552831197,-50.213012373,192.944,199.908847944
060323T1T2a-0023,360497.022,4435853.526,-70.9552635796,-50.2130322474,192.058,199.246259784
060323T1T2a-0024,360498.360,4435851.487,-70.9552455871,-50.2130508904,191.077,198.57884531
060323T1T2b-0001,360469.679,4435938.205,-70.9556154588,-50.212264664,197.238,202.816059504
060323T1T2b-0002,360470.140,4435937.161,-70.9556093852,-50.2122741567,197.215,202.85277893
060323T1T2b-0003,360472.259,4435933.888,-70.9555809072,-50.2123040757,197.237,203.005672634
060323T1T2b-0004,360474.719,4435930.181,-70.9555478121,-50.2123379761,197.161,203.166463071
060323T1T2b-0005,360477.153,4435926.360,-70.9555151232,-50.2123728951,197.111,203.244597884
060323T1T2b-0006,360479.701,4435922.666,-70.9554807906,-50.2124066994,197.178,203.240763515
060323T1T2b-0007,360482.191,4435918.925,-70.9554472878,-50.2124409125,197.134,203.185779842
060323T1T2b-0008,360484.619,4435915.455,-70.9554145537,-50.2124726751,197.100,203.137120126
060323T1T2b-0009,360486.860,4435911.983,-70.9553844397,-50.2125044116,197.141,203.131993269
060323T1T2b-0010,360489.086,4435908.468,-70.9553545515,-50.212536531,197.103,203.137998914
060323T1T2b-0011,360491.175,4435904.980,-70.9553265723,-50.2125683754,197.198,203.096791274
060323T1T2b-0012,360493.509,4435901.522,-70.9552951503,-50.212600008,197.133,203.001962036
060323T1T2b-0013,360495.784,4435898.003,-70.9552645772,-50.2126321749,197.181,202.96089155
060323T1T2b-0014,360497.891,4435894.549,-70.9552363333,-50.2126637179,197.121,202.991172932
060323T1T2b-0015,360499.803,4435891.182,-70.9552107888,-50.2126944329,197.076,203.009148101
060323T1T2b-0016,360501.988,4435888.110,-70.9551813119,-50.2127225608,196.879,202.929633064
060323T1T2b-0017,360503.984,4435884.873,-70.9551545429,-50.2127521271,196.667,202.733821816
060323T1T2b-0018,360506.062,4435881.679,-70.9551266096,-50.2127813263,196.428,202.462433655
060323T1T2b-0019,360508.069,4435878.713,-70.9550995869,-50.2128084593,195.858,202.139795133
060323T1T2b-0020,360509.888,4435875.819,-70.9550751711,-50.2128349008,195.254,201.709275665
060323T1T2b-0021,360511.197,4435873.541,-70.9550576727,-50.2128556852,194.691,201.269442942
060323T1T2b-0022,360511.539,4435873.301,-70.9550529704,-50.2128579231,194.661,201.193836314
060323T1T2b-0023,360512.945,4435871.166,-70.9550340607,-50.212877445,193.840,200.655437542
060323T1T2b-0024,360514.373,4435869.059,-70.9550148325,-50.2128967204,193.107,200.041478664
060323T1T2b-0025,360515.542,4435867.358,-70.954999083,-50.2129122854,192.331,199.493549533
060323T1T2b-0026,360516.260,4435866.003,-70.9549895236,-50.2129246341,191.772,199.063000011
060323T1T2b-0027,360517.565,4435864.537,-70.9549717828,-50.2129381189,190.794,198.45857755
060323T1T2b-0028,360518.391,4435863.118,-70.9549607341,-50.2129510683,190.251,197.923095823
060323T1T2b-0029,360519.138,4435861.966,-70.954950694,-50.2129615991,189.603,197.446613819
